Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
The Drop,(2014),15,106 min,"
Crime, Drama, Thriller            ",7.1,"
69        
        Metascore
            ","
    Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.",Michaël R. Roskam,Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts,"141,731",$10.72M
The Post,(2017),12A,116 min,"
Drama, Thriller            ",7.2,"
83        
        Metascore
            ","
    A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.",Steven Spielberg,Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk,"134,110",$81.90M
Bad Times at the El Royale,(2018),15,141 min,"
Crime, Drama, Mystery            ",7.1,"
60        
        Metascore
            ","
    Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Jon Hamm,"126,960",$17.84M
Miller's Crossing,(1990),18,115 min,"
Crime, Drama, Thriller            ",7.7,"
66        
        Metascore
            ","
    Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Joel Coen,Ethan Coen,Gabriel Byrne,Albert Finney,John Turturro,"125,165",$5.08M
Rebecca,(1940),A,130 min,"
Drama, Mystery, Romance            ",8.1,"
86        
        Metascore
            ","
    A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.",Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,"122,841",$4.36M
Max Payne,(2008),15,100 min,"
Action, Crime, Drama            ",5.4,"
31        
        Metascore
            ","
    Coming together to solve a series of murders in New York City are a police detective and an assassin, who will be hunted by the police, the mob, and a ruthless corporation.",John Moore,Mark Wahlberg,Mila Kunis,Beau Bridges,Ludacris,"121,575",$40.69M
What Lies Beneath,(2000),15,130 min,"
Drama, Fantasy, Horror            ",6.6,"
51        
        Metascore
            ","
    The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.",Robert Zemeckis,Harrison Ford,Michelle Pfeiffer,Katharine Towne,Miranda Otto,"117,308",$155.46M
AVPR: Aliens vs Predator - Requiem,(2007),15,94 min,"
Action, Adventure, Fantasy            ",4.7,"
29        
        Metascore
            ","
    Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",Colin Strause,Greg Strause,Reiko Aylesworth,Steven Pasquale,Shareeka Epps,"115,498",$41.80M
One Hour Photo,(2002),15,96 min,"
Drama, Thriller            ",6.8,"
64        
        Metascore
            ","
    A mentally unstable photo developer targets a middle-class family after his obsession with them becomes more sick and disturbing than any of them could imagine.",Mark Romanek,Robin Williams,Connie Nielsen,Michael Vartan,Dylan Smith,"114,149",$31.60M
Barton Fink,(1991),15,116 min,"
Comedy, Drama, Thriller            ",7.7,"
69        
        Metascore
            ","
    A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.",Joel Coen,Ethan Coen,John Turturro,John Goodman,Judy Davis,"112,482",$6.15M
Maze Runner: The Death Cure,(2018),12A,143 min,"
Action, Adventure, Sci-Fi            ",6.2,"
50        
        Metascore
            ","
    Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",Wes Ball,Dylan O'Brien,Ki Hong Lee,Kaya Scodelario,Thomas Brodie-Sangster,"110,806",$58.03M
Percy Jackson: Sea of Monsters,(2013),PG,106 min,"
Adventure, Family, Fantasy            ",5.8,"
39        
        Metascore
            ","
    In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters, to find the mythical Golden Fleece, all the while trying to stop an ancient evil from rising.",Thor Freudenthal,Logan Lerman,Alexandra Daddario,Brandon T. Jackson,Nathan Fillion,"109,686",$68.56M
Trance,(I) (2013),15,101 min,"
Crime, Drama, Mystery            ",6.9,"
61        
        Metascore
            ","
    An art auctioneer becomes mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.",Danny Boyle,James McAvoy,Rosario Dawson,Vincent Cassel,Danny Sapani,"109,364",$2.32M
The French Connection,(1971),X,104 min,"
Action, Crime, Drama            ",7.7,"
94        
        Metascore
            ","
    A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.",William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,"109,190",$15.63M
Wrong Turn,(I) (2003),18,84 min,"
Horror, Thriller            ",6.1,"
32        
        Metascore
            ","
    Chris and a group of five friends are left stranded deep in the middle of the woods after their cars collide. As they venture deeper into the woods, they face an uncertain and bloodcurdling fate.",Rob Schmidt,Eliza Dushku,Jeremy Sisto,Emmanuelle Chriqui,Desmond Harrington,"108,205",$15.42M
Entrapment,(1999),12,113 min,"
Action, Crime, Romance            ",6.3,"
54        
        Metascore
            ","
    An insurance agent is sent by her employer to track down and help capture an art thief.",Jon Amiel,Sean Connery,Catherine Zeta-Jones,Ving Rhames,Will Patton,"107,092",$87.70M
Street Kings,(2008),15,109 min,"
Action, Crime, Drama            ",6.8,"
55        
        Metascore
            ","
    An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.",David Ayer,Keanu Reeves,Forest Whitaker,Hugh Laurie,Chris Evans,"106,828",$26.42M
Ready or Not,(I) (2019),18,95 min,"
Comedy, Horror, Mystery            ",6.8,"
64        
        Metascore
            ","
    A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.",Matt Bettinelli-Olpin,Tyler Gillett,Samara Weaving,Adam Brody,Mark O'Brien,"106,564",$26.74M
Final Destination 5,(2011),15,92 min,"
Horror, Thriller            ",5.8,"
50        
        Metascore
            ","
    Survivors of a suspension-bridge collapse learn there's no way you can cheat Death.",Steven Quale,Nicholas D'Agosto,Emma Bell,Arlen Escarpeta,Miles Fisher,"106,098",$42.59M
Stoker,(2013),18,99 min,"
Drama, Mystery, Thriller            ",6.8,"
58        
        Metascore
            ","
    After India's father dies, her Uncle Charlie, whom she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.",Chan-wook Park,Mia Wasikowska,Nicole Kidman,Matthew Goode,Dermot Mulroney,"102,471",$1.70M
Run All Night,(2015),15,114 min,"
Action, Crime, Thriller            ",6.6,"
59        
        Metascore
            ","
    Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",Jaume Collet-Serra,Liam Neeson,Ed Harris,Joel Kinnaman,Vincent D'Onofrio,"101,458",$26.46M
The Name of the Rose,(1986),18,130 min,"
Crime, Drama, Mystery            ",7.7,"
54        
        Metascore
            ","
    An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.",Jean-Jacques Annaud,Sean Connery,Christian Slater,Helmut Qualtinger,Elya Baskin,"101,359",$7.15M
The X Files,(1998),15,121 min,"
Drama, Mystery, Sci-Fi            ",7.0,"
60        
        Metascore
            ","
    Mulder and Scully must fight the government in a conspiracy and find the truth about an alien colonization of Earth.",Rob Bowman,David Duchovny,Gillian Anderson,John Neville,William B. Davis,"100,690",$83.90M
Epic,(2013),U,102 min,"
Animation, Adventure, Family            ",6.7,"
52        
        Metascore
            ","
    A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.",Chris Wedge,Amanda Seyfried,Josh Hutcherson,Beyoncé,Colin Farrell,"99,191",$107.52M
Behind Enemy Lines,(2001),12,106 min,"
Action, Drama, Thriller            ",6.4,"
49        
        Metascore
            ","
    A Navy navigator is shot down over enemy territory and is ruthlessly pursued by a secret police enforcer and the opposing troops. Meanwhile his commanding officer goes against orders in an attempt to rescue him.",John Moore,Gene Hackman,Owen Wilson,Gabriel Macht,Charles Malik Whitfield,"98,282",$59.07M
The Counsellor,(2013),18,117 min,"
Crime, Drama, Thriller            ",5.3,"
48        
        Metascore
            ","
    A lawyer finds himself in over his head when he gets involved in drug trafficking.",Ridley Scott,Michael Fassbender,Penélope Cruz,Cameron Diaz,Javier Bardem,"96,108",$16.97M
Babylon A.D.,(2008),12A,90 min,"
Action, Adventure, Sci-Fi            ",5.6,"
26        
        Metascore
            ","
    Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.",Mathieu Kassovitz,Vin Diesel,Michelle Yeoh,Mélanie Thierry,Gérard Depardieu,"92,981",$22.53M
Runaway Jury,(2003),12A,127 min,"
Crime, Drama, Thriller            ",7.1,"
61        
        Metascore
            ","
    A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer.",Gary Fleder,John Cusack,Rachel Weisz,Gene Hackman,Dustin Hoffman,"90,669",$49.44M
Broken Arrow,(1996),15,108 min,"
Action, Adventure, Thriller            ",6.1,"
61        
        Metascore
            ","
    Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.",John Woo,John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo,"90,202",$70.77M
The X Files: I Want to Believe,(2008),15,104 min,"
Crime, Drama, Horror            ",5.9,"
47        
        Metascore
            ","
    Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.",Chris Carter,David Duchovny,Gillian Anderson,Billy Connolly,Amanda Peet,"88,397",$20.98M
The King of Comedy,(1982),PG,109 min,"
Comedy, Crime, Drama            ",7.8,"
73        
        Metascore
            ","
    Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",Martin Scorsese,Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,"87,112",$2.50M
A Cure for Wellness,(2016),18,146 min,"
Drama, Fantasy, Horror            ",6.4,"
47        
        Metascore
            ","
    An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",Gore Verbinski,Dane DeHaan,Jason Isaacs,Mia Goth,Ivo Nandi,"85,404",$8.11M
Widows,(2018),15,129 min,"
Crime, Drama, Thriller            ",6.9,"
84        
        Metascore
            ","
    Four women with nothing in common except a debt left behind by their dead husbands' criminal activities take fate into their own hands and conspire to forge a future on their own terms.",Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,,"85,109",$42.40M
Hitman: Agent 47,(2015),15,96 min,"
Action, Crime, Thriller            ",5.7,"
28        
        Metascore
            ","
    An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.",Aleksander Bach,Rupert Friend,Hannah Ware,Zachary Quinto,Ciarán Hinds,"84,995",$22.47M
Hide and Seek,(2005),15,101 min,"
Drama, Horror, Mystery            ",6.0,"
35        
        Metascore
            ","
    As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend.",John Polson,Robert De Niro,Dakota Fanning,Famke Janssen,Elisabeth Shue,"81,312",$51.10M
Unfaithful,(2002),15,124 min,"
Drama, Romance, Thriller            ",6.7,"
63        
        Metascore
            ","
    A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.",Adrian Lyne,Richard Gere,Diane Lane,Olivier Martinez,Erik Per Sullivan,"79,653",$52.80M
Along Came a Spider,(2001),15,104 min,"
Drama, Thriller            ",6.4,"
42        
        Metascore
            ","
    When a senator's daughter under Secret Service protection is kidnapped from a private school, detective Alex Cross investigates the case even though he's recovering from the loss of his partner.",Lee Tamahori,Morgan Freeman,Michael Wincott,Monica Potter,Dylan Baker,"76,687",$74.08M
Broken City,(2013),15,109 min,"
Action, Crime, Drama            ",6.2,"
49        
        Metascore
            ","
    In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.",Allen Hughes,Mark Wahlberg,Russell Crowe,Catherine Zeta-Jones,Jeffrey Wright,"75,871",$19.70M
Midnight Special,(2016),12A,112 min,"
Drama, Mystery, Sci-Fi            ",6.6,"
76        
        Metascore
            ","
    A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",Jeff Nichols,Michael Shannon,Joel Edgerton,Kirsten Dunst,Adam Driver,"75,247",$3.71M
Stay,(I) (2005),18,99 min,"
Drama, Mystery, Thriller            ",6.8,"
41        
        Metascore
            ","
    A psychiatrist attempts to prevent one of his patients from committing suicide while trying to maintain his own grip on reality.",Marc Forster,Ewan McGregor,Naomi Watts,Ryan Gosling,Kate Burton,"74,448",$3.63M
Speed 2: Cruise Control,(1997),PG,121 min,"
Action, Adventure, Crime            ",3.9,"
23        
        Metascore
            ","
    A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.",Jan de Bont,Sandra Bullock,Jason Patric,Willem Dafoe,Temuera Morrison,"74,380",$48.61M
Notes on a Scandal,(2006),15,92 min,"
Crime, Drama, Romance            ",7.4,"
73        
        Metascore
            ","
    A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her fifteen-year-old students. However, her intentions with this new ""friend"" also go well beyond a platonic friendship.",Richard Eyre,Cate Blanchett,Judi Dench,Andrew Simpson,Tom Georgeson,"74,232",$17.51M
Volcano,(1997),12,104 min,"
Action, Drama, Sci-Fi            ",5.5,"
55        
        Metascore
            ","
    A volcano erupts in downtown Los Angeles, threatening to destroy the city.",Mick Jackson,Tommy Lee Jones,Anne Heche,Gaby Hoffmann,Don Cheadle,"71,715",$49.32M
Dragonball Evolution,(2009),PG,85 min,"
Action, Adventure, Fantasy            ",2.5,"
45        
        Metascore
            ","
    The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong,Justin Chatwin,James Marsters,Yun-Fat Chow,Emmy Rossum,"69,903",$9.35M
